City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
444,mount isa,-20.7333,139.5,24.87,83,100,3.6,AU,1706310867
445,vila velha,-20.3297,-40.2925,24.97,95,75,3.13,BR,1706310867
446,peniche,39.3558,-9.3811,16.27,82,100,3.17,PT,1706310868
447,bikenibeu village,1.3673,173.1241,26.98,89,75,4.12,KI,1706310569
448,tshikapa,-6.4167,20.8,21.92,88,99,0.05,CD,1706310869
449,flin flon,54.7682,-101.865,-6.09,93,100,3.09,CA,1706310869
450,nizhneangarsk,55.7833,109.55,-15.0,89,100,0.45,RU,1706310869
451,kurumkan,54.3,110.3,-18.26,88,54,1.79,RU,1706310870
452,bandon,51.7469,-8.7425,7.77,80,100,6.8,IE,1706310870
453,revda,56.801,59.9303,-14.66,95,100,1.94,RU,1706310870
454,qarqaraly,49.4058,75.4742,-16.75,85,49,4.99,KZ,1706310871
455,luganville,-15.5333,167.1667,28.89,70,100,2.8,VU,1706310871
456,puerto aysen,-45.4,-72.7,17.09,84,78,2.8,CL,1706310871
457,fregene,41.8531,12.1934,12.73,87,75,1.54,IT,1706310872
458,dover,39.1582,-75.5244,20.03,84,100,3.09,US,1706310872
459,saint-philippe,-21.3585,55.7679,25.77,89,79,4.19,RE,1706310800
460,arkhangel'sk,64.5401,40.5433,-1.94,100,100,2.0,RU,1706310873
461,port douglas,-16.4833,145.4667,29.16,73,100,1.22,AU,1706310873
462,flying fish cove,-10.4217,105.6791,22.82,94,61,1.54,CX,1706310873
463,ebon,4.582,168.6964,27.93,77,100,6.82,MH,1706310874
464,cape coast,5.1053,-1.2466,26.74,83,3,2.52,GH,1706310874
465,kuta,-8.7233,115.1723,26.67,83,20,0.51,ID,1706310875
466,esquina,-30.0144,-59.5272,22.05,62,0,3.17,AR,1706310875
467,gargalianoi,37.0667,21.6333,9.09,63,0,1.84,GR,1706310875
468,tekanpur,25.9833,78.2667,10.29,52,75,0.95,IN,1706310876
469,capitao poco,-1.7464,-47.0594,23.82,97,95,2.89,BR,1706310876
470,saint-leu,-21.15,55.2833,25.48,86,51,4.44,RE,1706310876
471,pocatello,42.8713,-112.4455,3.95,86,20,1.54,US,1706310877
472,zalari,53.5584,102.5065,-25.92,100,43,0.3,RU,1706310877
473,belmonte,-15.8631,-38.8828,25.95,92,100,4.52,BR,1706310877
474,bandar lampung,-5.4254,105.258,23.53,95,95,1.9,ID,1706310878
475,villa bruzual,9.3328,-69.1208,29.93,46,84,1.52,VE,1706310878
476,beyneu,45.3167,55.2,-4.46,78,100,6.85,KZ,1706310879
477,byron bay,-28.65,153.6167,26.25,86,100,3.72,AU,1706310879
478,muang phonsavan,19.45,103.2167,10.68,98,83,1.04,LA,1706310879
479,pirallahi,40.4723,50.333,5.08,66,100,1.91,AZ,1706310880
480,zakynthos,37.7914,20.8953,8.69,53,0,1.52,GR,1706310880
481,corralillo,22.9819,-80.5856,24.52,76,20,6.45,CU,1706310880
482,lib,8.3122,167.3766,26.65,64,100,4.74,MH,1706310881
483,taulaga,-11.0553,-171.0883,29.76,72,100,6.52,AS,1706310881
484,hithadhoo,-0.6,73.0833,27.98,69,80,6.12,MV,1706310881
485,hun,29.1268,15.9477,11.54,82,0,1.83,LY,1706310881
486,dudinka,69.4058,86.1778,-13.54,92,100,7.6,RU,1706310882
487,lamu,-2.2717,40.902,27.12,89,100,4.47,KE,1706310882
488,fort-shevchenko,44.5086,50.263,1.38,77,100,8.89,KZ,1706310882
489,mejit,10.2753,170.8646,25.34,67,94,3.25,MH,1706310883
490,hammerfest,70.6634,23.6821,-7.75,73,40,7.72,NO,1706310883
491,gasa,31.5,34.4667,14.81,57,29,8.0,PS,1706310883
492,qarazhal,48.0078,70.7903,-15.1,88,89,4.65,KZ,1706310884
493,timimoun,29.2639,0.231,13.21,33,0,7.2,DZ,1706310884
494,as saffaniyah,27.9708,48.73,18.71,64,63,3.73,SA,1706310885
495,afif,23.9065,42.9172,12.05,45,87,3.78,SA,1706310885
496,longido,-2.7333,36.6833,20.13,80,99,3.71,TZ,1706310885
497,winnipeg,49.8844,-97.147,-2.96,91,20,6.71,CA,1706310332
498,st. john's,47.5649,-52.7093,-6.68,80,100,3.58,CA,1706310638
499,saint-joseph,-21.3667,55.6167,25.21,89,55,4.08,RE,1706310886
500,castillos,-34.1667,-53.8333,20.52,76,0,3.85,UY,1706310829
501,nianzishan,47.5167,122.8833,-21.43,93,16,1.8,CN,1706310887
502,romblon,12.5751,122.2708,24.87,67,99,8.67,PH,1706310887
503,thinadhoo,0.5333,72.9333,28.85,62,100,6.01,MV,1706310888
504,kilju,40.9642,129.3278,-8.13,78,1,2.29,KP,1706310888
505,quellon,-43.1167,-73.6167,16.37,84,100,3.53,CL,1706310888
506,mancio lima,-7.6142,-72.8958,30.04,70,40,1.54,BR,1706310889
507,veinticinco de mayo,-35.4323,-60.1727,28.32,41,25,0.45,AR,1706310889
508,lycksele,64.5954,18.6735,-3.09,95,100,4.55,SE,1706310889
509,sao tome,0.3365,6.7273,27.08,83,9,2.01,ST,1706310890
510,djibo,14.1022,-1.6306,19.15,16,59,4.39,BF,1706310890
511,tual,-5.6667,132.75,28.63,75,100,7.44,ID,1706310890
512,vila franca do campo,37.7167,-25.4333,18.27,99,98,6.09,PT,1706310891
513,yarega,63.4354,53.5765,-8.4,95,100,2.4,RU,1706310891
514,semnan,35.5729,53.3971,6.09,56,100,0.87,IR,1706310891
515,wewak,-3.5534,143.6268,24.76,95,100,1.4,PG,1706310892
516,la paz,-16.5,-68.15,13.99,68,75,3.6,BO,1706310892
517,aykhal,66.0,111.5,-33.37,100,19,2.23,RU,1706310892
518,jindabyne,-36.4167,148.6333,16.43,79,19,1.79,AU,1706310893
519,kayangel,8.0823,134.7173,27.3,83,100,12.2,PW,1706310893
520,camana,-16.6228,-72.7111,23.87,84,71,2.92,PE,1706310893
521,nelson bay,-32.7167,152.15,25.05,73,100,4.47,AU,1706310894
522,torquay,50.4638,-3.5143,5.48,71,54,2.32,GB,1706310894
523,dyatlovo,53.4631,25.4068,-6.87,97,79,2.2,BY,1706310894
524,krasnoarmeysk,51.0239,45.6969,-4.86,97,100,4.0,RU,1706310894
525,papao,-17.75,-149.55,28.7,75,71,2.01,PF,1706310895
526,beaufort,5.3473,115.7455,22.97,90,73,1.63,MY,1706310895
527,turpan,42.9333,89.1667,-7.38,50,0,0.52,CN,1706310895
528,kuanda,56.3161,116.0806,-21.06,98,100,0.22,RU,1706310896
529,betio village,1.358,172.9211,27.02,75,93,2.72,KI,1706310896
530,bengkulu,-3.8004,102.2655,24.42,90,99,1.97,ID,1706310896
531,crane,31.3974,-102.3501,15.5,39,43,6.29,US,1706310762
532,collie,-33.3667,116.15,16.03,57,0,3.19,AU,1706310897
533,seydi,39.4816,62.9137,1.58,64,99,4.77,TM,1706310897
534,road town,18.4167,-64.6167,26.05,69,40,6.17,VG,1706310898
535,waingapu,-9.6567,120.2641,26.53,85,94,2.84,ID,1706310898
536,bargaal,11.2864,51.0773,24.17,75,30,0.85,SO,1706310898
537,champerico,14.3,-91.9167,33.3,64,2,3.63,GT,1706310899
